DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI;DMC;DC;BUI;;;;;
20080318;27,6;65;5;0;87;22,8;326,7;3,6;38,8;8,8;1,8;6,7;1,8;;;;;
20080319;29,9;54;8;0;88,1;25,2;333,8;4,9;42,4;11,9;2,5;7,1;3,7;;;;;
20080320;30,2;55;2;0;88,2;27,7;340,9;3,7;46;9,8;2,5;7,1;3,6;;;;;
20080321;30,9;58;6;0;88,3;30;348,2;4,5;49,4;12,1;2,3;7,3;3,4;;;;;
20080322;21,7;82;3;0;84,1;30,7;353,8;2,2;50,5;6,6;0,7;5,6;1,1;;;;;
20080323;22,4;65;16;0;85;32,2;359,5;4,7;52,6;13;1,4;5,7;2,1;;;;;
20080324;27,6;58;3;0;86,7;34,3;366,2;3,1;55,6;9,6;2,1;6,7;3;;;;;
20080325;27,3;53;8;0;87,8;36,6;372,8;4,7;58,8;13,8;2,3;6,6;3,2;;;;;
20080326;27,1;61;2;0;87,9;38,5;379,4;3,5;61,4;11,2;1,9;6,6;2,7;;;;;
20080327;23,1;80;10;41;42,9;13,4;246;0,1;23,5;0,1;-25,2;-133,3;-37,9;;;;;
20080328;20,9;84;13;0;61,6;14;251,5;0,9;24,5;0,9;0,6;5,5;1;;;;;
20080329;24;72;8;0;76,3;15,2;257,5;1,2;26,5;2,1;1,2;6;1,9;;;;;
20080330;24;62;11;0;83,7;16,9;263,6;3,1;29,1;6,3;1,7;6;2,6;;;;;
20080331;25;65;0;0;84,7;18,5;269,8;2;31,5;4,4;1,6;6,2;2,4;;;;;
20080401;23;79;6;0;84,1;19,2;274,6;2,5;32,7;5,7;0,8;4,8;1,2;;;;;
20080402;22;68;6;0;84,5;20,3;279,3;2,6;34,4;6,1;1,1;4,7;1,7;;;;;
20080403;21;58;3;0;85,6;21,7;283,8;2,7;36,4;6,4;1,4;4,5;2,1;;;;;
20080404;23;49;10;0;87,6;23,5;288,6;5;39,1;11,6;1,8;4,8;2,7;;;;;
20080405;26;45;2;0;88,9;25,8;294;4;42,3;10,1;2,2;5,4;3,2;;;;;
20080406;27;45;14;0;89,4;28,1;299,5;7,9;45,5;17,9;2,3;5,6;3,2;;;;;,
20080407;28;46;5;0;89,4;30,4;305,3;5,1;48,7;13,2;2,4;5,7;3,2;;;;;
20080408;26;57;5;0;88,9;32,2;310,7;4,7;51,1;12,8;1,7;5,4;2,4;;;;;
20080409;28;50;11;0;88,9;34,4;316,4;6,4;54,1;16,7;2,2;5,7;2,9;;;;;
20080410;25;67;8;0;87,2;35,7;321,6;4,3;55,8;12,4;1,3;5,2;1,8;;;;;
20080411;27;70;6;0;86,7;36,9;327,2;3,6;57,6;11,1;1,3;5,6;1,8;;;;;
20080412;18;66;21;0;86;37,9;331,1;7;58,9;18,7;1;3,9;1,3;;;;;
20080413;16;44;2;0;87,1;39,3;334,7;3,2;60,8;10,2;1,4;3,6;1,9;;;;;
20080414;14;38;6;0;88,1;40,7;337,9;4,4;62,6;13,7;1,4;3,2;1,8;;;;;
20080415;17;29;0;0;89,8;42,6;341,7;4,2;65;13,3;1,9;3,8;2,4;;;;;
20080416;20;32;11;0;90,6;44,8;346;8,1;67,7;22,3;2,1;4,3;2,7;;;;;
20080417;23;35;8;0;90,6;47,1;350,9;7;70,6;20,6;2,3;4,8;2,9;;;;;
20080418;26;35;10;0;91,1;49,8;356,2;8,3;73,8;23,8;2,6;5,4;3,2;;;;;
20080419;24;63;2;0;88,3;51,2;361,3;3,7;75,6;13,2;1,4;5;1,8;;;;;
20080420;28;55;13;0;88,3;53,1;367;6,5;78;20,5;2;5,7;2,4;;;;;
20080421;27;56;10;0;88,4;55;372,6;5,6;80,3;18,8;1,8;5,6;2,3;;;;;
20080422;24;65;8;0;87,2;56,3;377,6;4,3;82;15,7;1,3;5;1,7;;;;;
20080423;26;60;2;0;87,3;57,9;383;3,2;84;12,6;1,6;5,4;2;;;;;
20080424;30;38;10;0;90,8;60,8;389,1;8;87,4;25,3;2,9;6,1;3,4;;;;;
20080425;29;53;10;0;90,1;62,9;395;7,2;90;23,8;2,1;5,9;2,6;;;;;
20080426;19;91;8;1;77,9;63,2;399,1;1,4;90,5;6,5;0,3;4,1;0,5;;;;;
20080427;24;73;5;0;81,7;64,2;404,2;1,8;91,9;8,1;1;5;1,4;;;;;
20080428;21;84;2;24;29,5;26,1;318,7;0;43,3;0;-38,1;-85,4;-48,6;;;;;
20080429;14;40;8;0;63,4;27,4;321,9;0,7;45,2;1,6;1,4;3,2;1,9;;;;;
20080430;15;53;3;0;76,2;28,6;325,3;1;46,9;2,5;1,1;3,4;1,6;;;;;
