DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC;ISI ;BUI;FWI
20090101;27;44;11;0;91,6;73,4;348,3;9,4;96,1;29,7
20090102;23;54;14;3;77,2413225;59,35177638;350,4481127;1,794921337;83,39442305;7,694017923
20090103;27;33;10;0;89,73592196;63,45248525;359,0121127;6,831873283;88,01508549;22,74064622
20090104;30;31;10;0;92,34951555;68,12647004;368,1161127;9,911171164;93,15359384;30,26487215
20090105;31;27;21;0;93,56141403;73,23041177;377,4001127;20,44331957;98,62031077;49,74633327
20090106;33;25;11;0;94,34722214;78,80090252;387,0441127;13,77430274;104,4417944;39,67319004
20090107;32;33;0;0;94,2032729;83,63127489;396,5081127;7,758109226;109,5152878;27,64826508
20090108;25;53;5;0;90,3016519;86,30315016;404,7121127;5,758809108;112,5853979;22,74752461
20090109;30;36;16;0;91,52642641;90,6384404;413,8161127;11,93531885;117,1359517;37,93049586
20090110;30;37;15;0;91,57628784;94,90599173;422,9201127;11,42950865;121,5951502;37,41614018
20090111;28;51;10;0;90,32753446;98,01174452;431,6641127;7,436001756;125,0437735;28,38885489
20090112;32;40;16;0;91,14825464;102,3374511;441,1281127;11,31063804;129,5430619;38,03605327
20090113;27;76;6;26;48,63749096;46,24171492;344,4031096;0,186920966;69,24145359;0,398036394
20090114;29;53;6;0;79,33279705;49,32307299;353,3271096;1,438447158;73,12591991;5,72166902
20090115;31;49;3;0;87,51964996;52,8888405;362,6111096;3,494208899;77,51331446;12,85410737
20090116;32;40;8;0;90,82909391;57,2145471;372,0751096;7,222658961;82,65437607;22,88407169
20090117;36;27;8;0;94,27682111;63,11349533;382,2591096;11,72757797;89,3473865;33,19419132
20090118;18,4;100;6;3;48,01631386;49,40772132;383,0784238;0,172141742;74,72213551;0,387677389
20090119;23;42;5;3,5;66,71948434;40,08341391;382,622734;0,723350757;63,52871659;2,297183305
20090120;27,8;34;2;0;86,27620048;44,23792185;391,330734;2,784446252;68,98098261;9,967187465
20090121;29,8;32;9;0;91,73844659;48,81454557;400,398734;8,644413435;74,82377169;24,66431665
