DIA;TEMP;H.R.;INT VIENTO;PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20100101;26,3;72;8;0;84,6;8,2;51;3;11,8;3,5
20100102;30;59;0;0;86;10,2;60,104;2,421583558;14,32318116;3,055980803
20100103;30;67;0;0;86,05023577;12,43538403;69,208;2,438731483;17,16168362;3,512068977
20100104;26;99;0;3;44,94143615;8,964590231;74,74693972;0,081503736;13,79346675;0,05893392
20100105;33;72;0;0;64,17989572;11,04424011;84,39093972;0,509737829;16,6432319;0,412333812
20100106;23;92;0;70;11,37845668;4,613323114;7,844;2,73984E-06;4,436887235;1,12048E-06
20100107;23;48;20;0;67,53702757;7,342918034;15,688;1,583424381;7,269629887;0,810012134
20100108;26;77;11;0;78,33334885;8,700527764;24,072;1,687161545;9,141158128;0,970107769
20100109;29;81;8;0;81,33326321;9,946183154;32,996;1,970861591;11,34379504;1,884299086
20100110;30;74;3;4;63,35247001;7,885118346;37,74141074;0,571346131;10,35939778;0,351340669
20100111;29;80;10;0;76,65832863;9,196334546;46,66541074;1,406053301;12,32195953;0,952540665
20100112;20;82;13;25;39,88987655;4,55231162;13,04479349;0,065454485;4,862442007;0,027820091
20100113;25;59;3;1;66,73906885;6,88309643;21,24879349;0,654463635;7,60637932;0,342403669
20100114;28;56;13;0;84,14883643;9,67193567;29,99279349;3,613681333;10,70977558;4,016431243
20100115;27;66;7;0;85,36708607;11,75289241;38,55679349;3,154221243;13,34001625;3,964854025
20100116;28;57;4;0;87,01820809;14,47834894;47,30079349;3,42110498;16,40394587;4,924853037
20100117;30;61;13;0;87,11983663;17,12016643;56,40479349;5,462215613;19,46791819;8,442167344
20100118;32;69;14;0;87,16824322;19,35511484;65,86879349;5,784210864;22,31640499;9,553193198
20100119;26;84;9;24;42,41974767;8,675150461;33,1540832;0,084818705;10,48892722;0,052513561
20100120;26,7;63;0;0;63,0156021;10,91554412;41,6640832;0,483446857;13,19120302;0,340601366
20100121;28,8;62;14;0;82,54465674;13,39030134;50,5520832;3,08603277;16,11150912;4,372492339
20100122;30;58;0;0;85,79390124;16,23533556;59,6560832;2,352636815;19,32349968;3,66765256
20100123;28;64;6;0;86,1719119;18,51711312;68,4000832;3,3564147;22,08632711;5,812913339
20100124;30;63;2;0;86,62456275;21,02345279;77,5040832;2,925009034;25,05565768;5,504410717
20100125;32;63;8;0;87,03201822;23,69097186;86,9680832;4,193137206;28,18634268;8,260820655
20100126;31;75;9;0;86,28439901;25,43889711;96,2520832;3,966425417;30,63568553;8,262625684
20100127;31;59;5;0;87,39601041;28,30549452;105,5360832;3,796975286;33,88830497;8,443714931
20100128;30;69;13;0;87,27633312;30,40540073;114,6400832;5,585445753;36,56556124;12,16806784
20100129;32;63;5;0;87,32479138;33,0729198;124,1040832;3,758569111;39,69782088;9,195897647
20100130;34;50;11;0;89,51084048;36,8954853;133,9280832;6,956637967;43,69643734;15,89491173
20100131;23;100;0;0;78,06455374;36,8954853;141,7720832;0,947208223;44,70520071;2,356725325
20100201;26;100;1;67;7,718094219;10,73457961;20,28282409;3,81601E-07;10,602709;2,37662E-07
20100202;28;99;10;72;2,968776947;4,131186726;8,044;2,84155E-08;4,01612453;1,1161E-08
20100203;34;70;19;28;66,19295779;3,444384963;9,124;1,437299416;3,544024248;0,537877224
20100204;23;100;6;64;5,899534918;0,971222462;7,144;1,62362E-07;1,449722641;4,61982E-08
20100205;22,6;100;12;35;0;0;7,072;3,48764E-09;0;6,97528E-10
20100206;20;100;10;82;0;0;6,604;3,15335E-09;0;6,3067E-10
20100207;31;89;10;36;29,76456589;0,70220997;8,584;0,005345484;1,165966604;0,001447984
20100208;26;100;5;4;13,15115777;0;12,1661425;8,5833E-06;0;1,71666E-06
20100209;29;73;13;0;60,08996995;1,61621649;20,3901425;0,792462245;2,697827446;0,269216859
20100210;30;64;6;0;80,1203856;3,84276501;28,7941425;1,558047629;5,76281684;0,713871175
20100211;32;72;0;0;82,95787755;5,68589217;37,5581425;1,606046199;8,249553725;0,875483365
20100212;32;72;8;0;84,89750532;7,52901933;46,3221425;3,109190945;10,70725187;3,382911505
20100213;32;80;5;0;84,94517821;8,84553873;55,0861425;2,690595422;12,62348897;3,177986427
