DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20210101;28;42;3;0;87,3;30,7;130;3,4;38,6;8,3
20210102;30;47;9;0;89,29349779;34,29016223;139,104;6,096702643;42,43127108;14,14231965
20210103;27;52;24;0;89,34262202;37,22798351;147,668;13,07233756;45,67108483;25,65951239
20210104;31;43;8;0;90,35164157;41,21325308;156,952;6,746484172;49,76055692;16,64650382
20210105;32;55;3;0;90,14019342;44,45753303;166,416;5,087890651;53,31063035;13,9353906
20210106;26;64;19;2;80,64407788;42,20009263;174,8;3,173215855;52,63339349;9,433209244
20210107;29;37;28;0;90,54236398;46,33042366;183,724;18,98951325;56,83197513;36,6598858
20210108;34;26;4;0;94,00823726;51,9878206;193,548;9,237426164;62,20459233;23,50134304
20210109;24;71;6;0;87,267234;53,57325959;201,572;3,920449332;64,37379048;12,63960315
20210110;32;56;21;0;88,2481875;56,74544443;211,036;9,604915824;67,8682052;25,25026876
20210111;25;83;12;9;51,36527402;31,19982805;199,0720391;0,352587287;44,83327185;0,549131827
20210112;23;62;15;23;55,83956467;13,26142747;153,0154631;0,640043043;21,79958123;0,612837028
20210113;26;57;24;0;82,28563578;15,7995674;161,3994631;4,945788634;25,38638365;8,977778927
20210114;26;62;12;0;85,505611;18,04257478;169,7834631;4,136627008;28,51070086;8,217870495
20210115;25;75;5;0;85,29733831;19,46378503;177,9874631;2,824459182;30,57010113;6,048872177
20210116;24;86;4;6;45,7284178;12,10689618;174,77467;0,112416961;20,63947591;0,103953332
20210117;24;59;31;0;79,43536473;14,34837889;182,79867;5,119827998;23,98929135;8,959440984
20210118;27;46;9;0;87,64424429;17,65342783;191,36267;4,812423085;28,69011489;9,398517189
20210119;29;40;27;0;90,48643229;21,58707643;200,28667;17,9127689;34,01006485;27,68232204
20210120;29;43;15;0;90,53595037;25,3240426;209,21067;9,855507718;38,88187894;19,37647012
20210121;29;58;18;0;89,20270183;28,07759662;218,13467;9,470065244;42,48413766;19,68807533
20210122;31;57;18;0;89,25179608;31,08402805;227,41867;9,537035227;46,3351195;20,68318546
20210123;31;61;3;0;88,94075786;33,81079144;236,70267;4,283764177;49,82793241;11,70489562
20210124;33;52;15;0;89,18247873;37,37590552;246,34667;8,118073783;54,19539421;19,95836945
20210125;32;56;15;0;89,2315663;40,54809036;255,81067;8,175476342;58,08056524;20,79595246
20210126;28;79;9;0;85,26834255;41,87912727;264,55467;3,441211414;60,00944638;10,91994233
20210127;29;71;7;70;53,43626186;14,87420917;100,2820447;0,341903204;21,70135305;0,326425574
20210128;30;61;7;0;79,44489745;17,51602666;109,3860447;1,529499932;25,01707164;2,646627899
20210129;23;80;9;0;81,12945005;18,56587086;117,2300447;2,024634295;26,60003753;3,905362082
20210130;23;87;6;0;81,17587891;19,24826959;125,0740447;1,74990795;27,80060443;3,417453517
20210131;21;82;7;36;35,75809909;8,092020435;62,14321853;0,020533252;12,20940231;0,013837883
20210201;23;86;6;4;37,58761425;5,448684277;64,60109222;0,029011902;8,999701937;0,016545269
20210202;22;85;4;0;53,37109202;6,137768827;71,56509222;0,292022449;10,10821417;0,177192386
20210203;22;92;4;35;17,60026856;2,642073016;17,9572113;6,08724E-05;3,863162827;2,35463E-05
20210204;25;68;21;11;56,75402002;2,355862071;9,597156274;0,934558233;2,919849128;0,326117428
20210205;26;62;8;0;78,33019176;4,403825331;17,28115627;1,450099045;5,380081865;0,644164069
20210206;26;50;15;0;86,85538196;7,098513831;24,96515627;5,818190611;8,298268734;5,709087221
20210207;29;57;12;0;87,55055897;9,672488241;33,18915627;5,523130513;11,1912015;6,332020031
20210208;31;50;4;0;88,9450652;12,86435174;41,77315627;4,507895809;14,53686576;6,022013903
20210209;24;71;21;0;86,23203483;14,31192647;49,09715627;7,206926829;16,55749187;9,823567196
20210210;24;81;9;0;84,02901279;15,2603375;56,42115627;2,907171082;18,20847369;4,443852758
20210211;24;80;0;7;38,11603202;9,268623561;53,58449002;0,023923337;12,94111601;0,016669176
20210212;26;72;9;0,5;67,89852073;10,77764912;61,26849002;0,920615457;14,97133497;0,698685863
20210213;28;68;10;32;56,73283745;6,1546001;15,12990821;0,536025806;6,146772584;0,25301122
20210214;28;69;15;0;79,04158501;7,94860637;23,17390821;2,201207733;8,558413728;1,753513682
20210215;29;63;15;0;85,43587019;10,16342156;31,39790821;4,765142928;11,23499565;5,503695187
20210216;25;61;21;0;86,182853;12,18771929;38,90190821;7,157165271;13,66923141;8,861019875
20210217;25;55;24;0;87,20151968;14,52344744;46,40590821;9,618374001;16,29638214;12,3418668
20210218;28;50;9;0;88,48589866;17,41700594;54,44990821;5,42934718;19,35566741;8,371258488
20210219;29;55;16;0;88,53475625;20,11070009;62,67390821;7,77948843;22,317996;12,18821749
20210220;27;58;3;0;88,58362998;22,45776383;70,53790821;4,069683159;25,00938902;7,499639839
20210221;31;52;7;0;88,8316769;25,52195279;79,12190821;5,158738299;28,25706228;9,881181046
20210222;27;75;4;0;86,06579955;26,91901454;86,98590821;2,989736863;30,35419561;6,355658923
20210223;26;76;3;0;85,3476516;28,21246502;94,66990821;2,571597073;32,33479616;5,731662467
20210224;28;45;7;0;88,92927362;31,39537937;102,7139082;5,231527893;35,59271717;11,37142755
20210225;29;43;9;0;89,98837121;34,80739196;110,9379082;6,735555994;39,01323207;14,59786691
20210226;29;50;7;0;90,03772484;37,80038546;119,1619082;6,133158867;42,16330168;14,15900783
20210227;28;63;9;0;88,28551371;39,94161875;127,2059082;5,275475186;44,75302469;13,00533864
20210228;29;63;21;0;88,20258124;42,15643394;135,4299082;9,542299691;47,41481967;20,93569778
20210301;28;67;21;0;87,38190329;43,82973748;142,1739082;8,484750997;49,50536916;19,66272851
20210302;31;59;4;0;87,60050578;46,12301541;149,4579082;3,717478547;52,07212262;10,69838762
20210303;29;73;12;0;86,4315707;47,53912891;156,3819082;4,710456869;54,02221395;13,21868355
20210304;24;87;0;0;83,02817654;48,10770013;162,4059082;1,620548022;55,27882091;5,264219708
20210305;24;84;12;56;39,7431735;16,80301189;53,18169953;0,06050998;18,77550089;0,052721713
20210306;23;65;6;0;67,5932619;18,27279377;59,02569953;0,783590362;20,6014381;0,723748712
20210307;26;63;9;0;81,54426904;20,01997847;65,40969953;2,124421845;22,68326337;3,667003026
20210308;29;57;7;0;86,52108767;22,27527033;72,33369953;3,708193893;25,17152177;6,917732291
20210309;28;57;2;0;87,25097924;24,45563555;79,07769953;3,197495394;27,58436307;6,374897255
20210310;29;62;7;0;87,29942913;26,44868418;86,00169953;4,142002109;29,90508548;8,46052804
20210311;29;55;12;0;87,915766;28,80887334;92,92569953;5,819453472;32,45976439;11,77926371
20210312;29;54;15;0;88,15579552;31,22151115;99,84969953;7,005852332;35,04662812;14,21255877
20210313;30;63;5;0;88,20454413;33,22658288;106,9536995;4,262841678;37,40346312;9,878395
20210314;28;51;5;0;88,48482052;35,71118511;113,6976995;4,437735317;40,00755114;10,61888032
20210315;27;52;15;0;88,53367776;38,06144214;120,2616995;7,396121917;42,49775772;16,4032918
20210316;20;91;2;5;41,14036511;25,0477;117,9803424;0,047500967;32,72583491;0,059483316
20210317;20;90;15;10;29,11674297;12,64184076;105,1172015;0,005735589;19,43910759;0,005107084
20210318;20;67;7;0;59,0836143;13,85512959;110,4212015;0,548663334;21,09348317;0,514416865
20210319;23;72;15;0;76,47805859;15,03095509;116,2652015;1,786361268;22,71902769;2,984122553
